Age,Gender,Height,Weight,Activity Level,Fitness Goal,Dietary Preference,Daily Calorie Target,Protein,Carbohydrates,Fat,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion,BMI,BMR
25.0,Male,180.0,80.0,Moderately Active,Weight Loss,Omnivore,2000,120,250,60,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Greek yogurt with fruit,24.691358024691358,1805.0
32.0,Female,165.0,65.0,Lightly Active,Weight Loss,Vegetarian,1600,80,200,40,Tofu scramble with veggies,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Apple with almond butter,23.875114784205696,1360.25
48.0,Male,175.0,95.0,Sedentary,Maintenance,Vegan,2200,100,300,65,Tofu and veggie breakfast burrito,Black bean burger on a whole wheat bun,Lentil and vegetable curry,Trail mix,31.020408163265305,1808.75
55.0,Female,160.0,70.0,Very Active,Weight Loss,Omnivore,2500,140,350,80,Greek yogurt with granola and fruit,Chicken and vegetable stir-fry,Turkey chili with brown rice,Banana with peanut butter,27.343749999999996,1264.0
62.0,Male,170.0,85.0,Sedentary,Maintenance,Vegetarian,2000,80,250,55,Scrambled eggs with whole wheat toast and avocado,Quinoa salad with chickpeas and vegetables,Vegetarian chili with cornbread,Fruit and nut mix,29.411764705882355,1607.5
68.0,Female,155.0,60.0,Lightly Active,Maintenance,Vegan,1800,70,220,45,Tofu scramble with veggies,Lentil pasta with vegetables,Vegan stir-fry with brown rice,Hummus and veggie wrap,24.97398543184183,1067.75
28.0,Male,190.0,100.0,Moderately Active,Muscle Gain,Omnivore,3000,180,350,80,Protein pancakes with fruit and nuts,Chicken breast with brown rice and vegetables,Steak with sweet potato and broccoli,Protein shake,27.70083102493075,2052.5
35.0,Female,170.0,75.0,Very Active,Muscle Gain,Vegetarian,2400,120,300,60,Tofu and veggie breakfast burrito,Black bean burger on a whole wheat bun,Quinoa and vegetable bowl,Cottage cheese with fruit,25.95155709342561,1476.5
42.0,Male,185.0,110.0,Moderately Active,Muscle Gain,Vegan,3200,160,400,85,Tofu and chickpea scramble,Lentil burger with sweet potato fries,Vegan chili with cornbread,Energy bar,32.14024835646457,2051.25
58.0,Female,168.0,78.0,Sedentary,Maintenance,Vegan,1900,75,230,50,Overnight oats with fruit and chia seeds,Lentil soup with whole wheat bread,Vegan pasta with vegetables and sauce,Fruit and veggie sticks,27.636054421768712,1379.0
25.0,Male,180.0,80.0,Lightly Active,Weight Loss,Omnivore,2000,120,250,60,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Greek yogurt with fruit,24.691358024691358,1805.0
32.0,Female,165.0,65.0,Moderately Active,Muscle Gain,Vegan,2200,100,300,70,Tofu scramble with vegetables,Lentil soup with wholegrain bread,Chickpea and vegetable curry,Trail mix with nuts and seeds,23.875114784205696,1360.25
48.0,Male,175.0,95.0,Sedentary,Maintenance,Vegetarian,2400,100,350,80,Wholegrain toast with avocado,Black bean salad,Vegetable stir-fry with tofu,Fruit salad with yogurt,31.020408163265305,1808.75
55.0,Female,160.0,70.0,Moderately Active,Weight Loss,Omnivore,1800,100,200,50,Greek yogurt with granola,Tuna salad sandwich on wholegrain bread,Chicken breast with steamed vegetables,Popcorn,27.343749999999996,1264.0
62.0,Male,170.0,85.0,Very Active,Muscle Gain,Vegan,3000,150,400,100,Tofu and vegetable stir-fry,Lentil and vegetable stew,Vegan chili,Smoothie with protein powder,29.411764705882355,1607.5
28.0,Female,172.0,60.0,Lightly Active,Muscle Gain,Vegan,2000,100,250,60,Tofu scramble with vegetables,Black bean burger on a wholegrain bun,Lentil pasta with vegetables,Trail mix with nuts and seeds,20.281233098972418,1374.0
35.0,Male,185.0,90.0,Very Active,Weight Loss,Omnivore,2500,150,300,80,Oatmeal with protein powder and fruit,Grilled chicken breast with brown rice,Salmon with roasted vegetables,Fruit and nuts,26.296566837107374,1886.25
40.0,Female,168.0,75.0,Moderately Active,Maintenance,Vegetarian,2200,100,300,70,Wholegrain toast with avocado,Lentil soup with wholegrain bread,Vegetable stir-fry with tofu,Fruit salad with yogurt,26.573129251700685,1439.0
22.0,Male,190.0,100.0,Lightly Active,Muscle Gain,Omnivore,2800,160,350,90,Eggs with wholegrain toast,Chicken breast with brown rice,Steak with roasted vegetables,Protein bar,27.70083102493075,2082.5
58.0,Female,155.0,68.0,Sedentary,Weight Loss,Vegan,1600,80,180,40,Tofu scramble with vegetables,Lentil soup with wholegrain bread,Vegan chili,Fruit and nut mix,28.303850156087407,1197.75
24.0,Female,165.0,55.0,Lightly Active,Weight Loss,Omnivore,1800,100,250,50,Greek yogurt with berries and granola,Salmon salad with mixed greens and avocado,Chicken stir-fry with brown rice,Apple with peanut butter,20.202020202020204,1300.25
38.0,Male,180.0,80.0,Moderately Active,Muscle Gain,Omnivore,2800,160,350,80,Oatmeal with protein powder and fruit,Chicken breast with sweet potato and broccoli,Steak with roasted vegetables,Protein shake,24.691358024691358,1740.0
55.0,Female,160.0,70.0,Sedentary,Weight Loss,Vegetarian,1600,80,200,40,Tofu scramble with vegetables,Lentil soup with whole wheat bread,Vegetarian chili with brown rice,Trail mix with nuts and dried fruit,27.343749999999996,1264.0
62.0,Male,175.0,95.0,Moderately Active,Weight Loss,Omnivore,2200,120,280,60,Eggs with whole wheat toast and avocado,Turkey sandwich on whole wheat bread with vegetables,Chicken and vegetable stir-fry with brown rice,Greek yogurt with fruit and granola,31.020408163265305,1738.75
28.0,Female,170.0,65.0,Very Active,Muscle Gain,Vegan,2400,140,320,70,Tofu scramble with vegetables and avocado,Vegan lentil stew with whole wheat bread,Tofu stir-fry with brown rice and vegetables,Banana with almond butter,22.49134948096886,1411.5
45.0,Male,185.0,100.0,Lightly Active,Weight Loss,Omnivore,2000,110,250,50,Greek yogurt with fruit and granola,Tuna salad with whole wheat bread,Chicken breast with sweet potato and green beans,Mixed nuts and seeds,29.218407596785973,1936.25
68.0,Female,155.0,60.0,Sedentary,Maintenance,Vegan,1400,70,180,35,Tofu scramble with vegetables,Lentil soup with whole wheat bread,Vegan pasta with vegetables and tomato sauce,Apple with peanut butter,24.97398543184183,1067.75
